"","Month","Year","Trim.Team.A","Trim.Team.B","Won","Prob.win"
"1","30-May",2019,"England","South Africa","England ","England "
"2","31-May",2019,"Pakistan","West Indies","Pakistan ","Pakistan "
"3","01-Jun",2019,"New Zealand","Sri Lanka","New Zealand ","New Zealand "
"4","02-Jun",2019,"Bangladesh","South Africa","South Africa ","South Africa "
"5","03-Jun",2019,"England","Pakistan","England ","England "
"6","05-Jun",2019,"India","South Africa","India ","India "
"7","05-Jun",2019,"Bangladesh","New Zealand","Bangladesh ","Bangladesh "
"8","06-Jun",2019,"Australia","West Indies","Australia ","Australia "
"9","07-Jun",2019,"Pakistan","Sri Lanka","Pakistan ","Pakistan "
"10","08-Jun",2019,"England","Bangladesh","England ","England "
"11","09-Jun",2019,"India","Australia","India ","India "
"12","10-Jun",2019,"South Africa","West Indies","South Africa ","South Africa "
"13","11-Jun",2019,"Bangladesh","Sri Lanka","Sri Lanka ","Sri Lanka "
"14","12-Jun",2019,"Australia","Pakistan","Australia ","Australia "
"15","13-Jun",2019,"India","New Zealand","India ","India "
"16","14-Jun",2019,"England","West Indies","England ","England "
"17","15-Jun",2019,"Sri Lanka","Australia","Sri Lanka ","Sri Lanka "
"18","16-Jun",2019,"India","Pakistan","India ","India "
"19","17-Jun",2019,"West Indies","Bangladesh","West Indies ","West Indies "
"20","19-Jun",2019,"New Zealand","South Africa","South Africa ","South Africa "
"21","20-Jun",2019,"Australia","Bangladesh","Australia ","Australia "
"22","21-Jun",2019,"England","Sri Lanka","England ","England "
"23","22-Jun",2019,"West Indies","New Zealand","West Indies ","West Indies "
"24","23-Jun",2019,"Pakistan","South Africa","Pakistan ","Pakistan "
"25","25-Jun",2019,"England","Australia","England ","England "
"26","26-Jun",2019,"New Zealand","Pakistan","New Zealand ","New Zealand "
"27","27-Jun",2019,"West Indies","India","West Indies ","West Indies "
"28","28-Jun",2019,"Sri Lanka","South Africa","South Africa ","South Africa "
"29","29-Jun",2019,"New Zealand","Australia","New Zealand ","New Zealand "
"30","30-Jun",2019,"England","India","England ","England "
"31","01-Jul",2019,"Sri Lanka","West Indies","India ","India "
"32","02-Jul",2019,"Bangladesh","India","India ","India "
"33","03-Jul",2019,"England","New Zealand","New Zealand ","New Zealand "
"34","05-Jul",2019,"Pakistan","Bangladesh","Pakistan ","Pakistan "
"35","06-Jul",2019,"Sri Lanka","India","India ","India "
"36","06-Jul",2019,"Australia","South Africa","South Africa ","South Africa "
"37","09-Jul",2019,"India","New Zealand","India ","India "
"38","11-Jul",2019,"Australia","England","Australia ","Australia "
"39","14-Jul",2019,"England","New Zealand","New Zealand ","New Zealand "
