Month,Year,Team A,Team B,Ground,Won,Team A Won,Trim Team A,Trim Team B
January,1987,England ,West Indies,Adelaide Oval,England ,1,England,West Indies
January,1987,Australia ,West Indies,Adelaide Oval,West Indies ,0,Australia,West Indies
January,1987,Australia ,England,Adelaide Oval,Australia ,1,Australia,England
March,1987,New Zealand ,West Indies,AMI Stadium,West Indies ,0,New Zealand,West Indies
October,1987,England ,Sri Lanka,Arbab Niaz Stadium,England ,1,England,Sri Lanka
November,1987,Pakistan ,England,Arbab Niaz Stadium,England ,0,Pakistan,England
January,1987,England ,West Indies,Brisbane Cricket Ground,England ,1,England,West Indies
January,1987,Australia ,England,Brisbane Cricket Ground,Australia ,1,Australia,England
March,1987,New Zealand ,West Indies,Carisbrook,West Indies ,0,New Zealand,West Indies
February,1987,England ,West Indies,Devonport Oval,England ,1,England,West Indies
February,1987,India ,Pakistan,Eden Gardens,Pakistan ,0,India,Pakistan
November,1987,Australia ,England,Eden Gardens,Australia ,1,Australia,England
March,1987,New Zealand ,West Indies,Eden Park,West Indies ,0,New Zealand,West Indies
May,1987,England ,Pakistan,Edgbaston,England ,1,England,Pakistan
January,1987,India ,Sri Lanka,Feroz Shah Kotla,India ,1,India,Sri Lanka
October,1987,India ,Australia,Feroz Shah Kotla,India ,1,India,Australia
November,1987,Pakistan ,England,Gaddafi Stadium,England ,0,Pakistan,England
October,1987,Pakistan ,West Indies,Gaddafi Stadium,Pakistan ,1,Pakistan,West Indies
November,1987,Pakistan ,Australia,Gaddafi Stadium,Australia ,0,Pakistan,Australia
October,1987,Sri Lanka ,West Indies,Green Park,West Indies ,0,Sri Lanka,West Indies
October,1987,Pakistan ,Sri Lanka,Iqbal Stadium,Pakistan ,1,Pakistan,Sri Lanka
October,1987,England ,West Indies,Jinnah Stadium ,England ,1,England,West Indies
March,1987,India ,Pakistan,Keenan Stadium,Pakistan ,0,India,Pakistan
May,1987,England ,Pakistan,Kennington Oval,England ,1,England,Pakistan
March,1987,India ,Pakistan,Lal Bahadur Shastri Stadium,India ,1,India,Pakistan
October,1987,India ,New Zealand,M Chinnaswamy Stadium,India ,1,India,New Zealand
October,1987,India ,Australia,MA Chidambaram Stadium,Australia ,0,India,Australia
February,1987,Australia ,England,Melbourne Cricket Ground,England ,0,Australia,England
January,1987,Australia ,West Indies,Melbourne Cricket Ground,West Indies ,0,Australia,West Indies
January,1987,England ,West Indies,Melbourne Cricket Ground,West Indies ,0,England,West Indies
February,1987,Australia ,England,Melbourne Cricket Ground,Australia ,1,Australia,England
January,1987,India ,Sri Lanka,Moti Bagh Stadium,India ,1,India,Sri Lanka
November,1987,Pakistan ,England,National Stadium,England ,0,Pakistan,England
October,1987,Sri Lanka ,West Indies,National Stadium,West Indies ,0,Sri Lanka,West Indies
October,1987,Pakistan ,England,National Stadium,Pakistan ,1,Pakistan,England
October,1987,Pakistan ,West Indies,National Stadium,West Indies ,0,Pakistan,West Indies
January,1987,India ,Sri Lanka,Nehru Stadium ,India ,1,India,Sri Lanka
December,1987,India ,West Indies,Nehru Stadium ,West Indies ,0,India,West Indies
January,1987,India ,Pakistan,Nehru Stadium ,Pakistan ,0,India,Pakistan
October,1987,Australia ,New Zealand,Nehru Stadium ,Australia ,1,Australia,New Zealand
October,1987,England ,Sri Lanka,Nehru Stadium ,England ,1,England,Sri Lanka
March,1987,India ,Pakistan,Nehru Stadium ,Pakistan ,0,India,Pakistan
October,1987,Pakistan ,Sri Lanka,Niaz Stadium,Pakistan ,1,Pakistan,Sri Lanka
October,1987,Pakistan ,England,Pindi Club Ground,Pakistan ,1,Pakistan,England
October,1987,England ,West Indies,Sawai Mansingh Stadium,England ,1,England,West Indies
October,1987,Australia ,New Zealand,Sector 16 Stadium,Australia ,1,Australia,New Zealand
April,1987,England ,Pakistan,Sharjah Cricket Stadium,England ,1,England,Pakistan
April,1987,Australia ,England,Sharjah Cricket Stadium,England ,0,Australia,England
April,1987,England ,India,Sharjah Cricket Stadium,India ,0,England,India
April,1987,Australia ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,Australia,Pakistan
April,1987,Australia ,India,Sharjah Cricket Stadium,India ,0,Australia,India
April,1987,India ,Pakistan,Sharjah Cricket Stadium,Pakistan ,0,India,Pakistan
January,1987,Australia ,England,Sydney Cricket Ground,England ,0,Australia,England
February,1987,Australia ,England,Sydney Cricket Ground,England ,0,Australia,England
January,1987,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
February,1987,Australia ,West Indies,Sydney Cricket Ground,Australia ,1,Australia,West Indies
May,1987,England ,Pakistan,Trent Bridge,Pakistan ,0,England,Pakistan
March,1987,India ,Pakistan,Vidarbha Cricket Association Ground,Pakistan ,0,India,Pakistan
October,1987,India ,New Zealand,Vidarbha Cricket Association Ground,India ,1,India,New Zealand
